Committee_Name,Report_Year,Report_Type,Is Amendment,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2010,First Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2010,First Quarter,X,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2010,Fourth Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2010,Second Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2010,Third Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2011,Mid Year Semi-Annual,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2011,Year End Semi-Annual,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2012,First Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2012,Fourth Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2012,Second Quarter,,,
MECKLENBURG CTY MEDICAL SOCIETY PAC,2012,Third Quarter,,,
MECKLENBURG DEC,2000,Third Quarter,X,,
MECKLENBURG DEC,2002,Interim,X,,
MECKLENBURG DEC,2002,Second Quarter,,,
MECKLENBURG DEC,2003,Mid Year Semi-Annual,X,,
MECKLENBURG DEC,2003,Year End Semi-Annual,X,,
MECKLENBURG DEC,2004,First Quarter,X,,
MECKLENBURG DEC,2004,Second Quarter,X,,
MECKLENBURG DEC,2006,First Quarter,X,,
MECKLENBURG DEC,2011,Mid Year Semi-Annual,,,
MECKLENBURG DEC,2011,Year End Semi-Annual,,,
MECKLENBURG DEC,2011,Year End Semi-Annual,X,,
MECKLENBURG DEC,2012,First Quarter,,,
MECKLENBURG DEC,2012,Fourth Quarter,,,
MECKLENBURG DEC,2012,Second Quarter,,,
MECKLENBURG DEC,2012,Third Quarter,,,
MECKLENBURG DEC,2013,Mid Year Semi-Annual,,,
MECKLENBURG DEC,2013,Year End Semi-Annual,,,
MECKLENBURG DEC,2014,First Quarter,,,
MECKLENBURG DEC,2014,Fourth Quarter,,,
MECKLENBURG DEC,2014,Second Quarter,,,
MECKLENBURG DEC,2014,Third Quarter,,,
MECKLENBURG DW,2002,Second Quarter,X,,
MECKLENBURG DW,2003,Mid Year Semi-Annual,,,
MECKLENBURG DW,2003,Year End Semi-Annual,,,
MECKLENBURG DW,2004,First Quarter,,,
MECKLENBURG DW,2004,Second Quarter,,,
MECKLENBURG DW,2011,Mid Year Semi-Annual,,,
MECKLENBURG DW,2012,Second Quarter,,,
MECKLENBURG DW,2013,Mid Year Semi-Annual,,,
MECKLENBURG DW,2013,Year End Semi-Annual,,,
MECKLENBURG EVENING RW,2002,Mid Year Semi-Annual,,,
MECKLENBURG EVENING RW,2003,Year End Semi-Annual,,,
MECKLENBURG EVENING RW,2008,Fourth Quarter,,,
MECKLENBURG EVENING RW,2008,Third Quarter,,,
MECKLENBURG EVENING RW,2010,Fourth Quarter,X,,
MECKLENBURG EVENING RW,2010,Second Quarter,X,,
MECKLENBURG EVENING RW,2010,Third Quarter,X,,
MECKLENBURG EVENING RW,2010,Year End Semi-Annual,,,
MECKLENBURG EVENING RW,2010,Year End Semi-Annual,X,,
MECKLENBURG EVENING RW,2011,Mid Year Semi-Annual,X,,
MECKLENBURG EVENING RW,2011,Year End Semi-Annual,,,
MECKLENBURG EVENING RW,2012,First Quarter,,,
MECKLENBURG EVENING RW,2012,Fourth Quarter,,,
MECKLENBURG EVENING RW,2012,Second Quarter,,,
MECKLENBURG EVENING RW,2012,Second Quarter,X,,
MECKLENBURG EVENING RW,2012,Third Quarter,,,
MECKLENBURG EVENING RW,2013,Mid Year Semi-Annual,,,
MECKLENBURG EVENING RW,2013,Year End Semi-Annual,,,
MECKLENBURG EVENING RW,2016,First Quarter,X,,
MECKLENBURG LEC,2001,Special,,,
MECKLENBURG LEC,2010,First Quarter,,,
MECKLENBURG LEC,2010,Fourth Quarter,,,
MECKLENBURG LEC,2010,Second Quarter,,,
MECKLENBURG LEC,2010,Third Quarter,,,
MECKLENBURG LEC,2011,Mid Year Semi-Annual,,,
MECKLENBURG LEC,2012,First Quarter,,,
MECKLENBURG LEC,2012,Fourth Quarter,,,
MECKLENBURG LEC,2012,Second Quarter,,,
MECKLENBURG LEC,2012,Third Quarter,,,
MECKLENBURG LEC,2012,Third Quarter,X,,
MECKLENBURG LEC,2012,Year End Semi-Annual,X,,
MECKLENBURG LEC,2013,Mid Year Semi-Annual,,,
MECKLENBURG LEC,2013,Year End Semi-Annual,,,
MECKLENBURG LEC,2014,First Quarter,,,
MECKLENBURG LEC,2014,Fourth Quarter,,,
MECKLENBURG LEC,2014,Second Quarter,,,
MECKLENBURG LEC,2014,Third Quarter,,,
MECKLENBURG LEC,2015,Mid Year Semi-Annual,,,
MECKLENBURG LEC,2015,Year End Semi-Annual,,,
MECKLENBURG LEC,2016,First Quarter,,,
MECKLENBURG LEC,2016,Fourth Quarter,,,
MECKLENBURG LEC,2016,Second Quarter,,,
MECKLENBURG LEC,2016,Third Quarter,,,
MECKLENBURG LGBT DEMOCRATS,2015,Year End Semi-Annual,X,,
MECKLENBURG LGBT DEMOCRATS,2016,First Quarter,,,
MECKLENBURG LGBT DEMOCRATS,2016,First Quarter,X,,
MECKLENBURG LGBT DEMOCRATS,2016,Fourth Quarter,,,
MECKLENBURG LGBT DEMOCRATS,2016,Second Quarter,,,
MECKLENBURG LGBT DEMOCRATS,2016,Third Quarter,,,
MECKLENBURG LGBT PAC,2016,Fourth Quarter,,,
MECKLENBURG LGBT PAC,2016,Organizational,,,
MECKLENBURG LGBT PAC,2016,Third Quarter,,,
MECKLENBURG LGBTQ,2018,Fourth Quarter,,,
MECKLENBURG LGBTQ,2018,Second Quarter,,,
MECKLENBURG LGBTQ,2018,Third Quarter,X,,
MECKLENBURG LGBTQ,2019,Mid Year Semi-Annual,,,
MECKLENBURG LGBTQ,2019,Mid Year Semi-Annual,X,,
MECKLENBURG LGBTQ,2019,Year End Semi-Annual,,,
MECKLENBURG LGBTQ,2020,First Quarter,,,
MECKLENBURG LGBTQ,2020,Second Quarter,,,
MECKLENBURG REC,2011,Year End Semi-Annual,,,
MECKLENBURG REPUBLICAN BUILDING FUND,2016,Organizational,,,
MECKLENBURG SENIOR DEMOCRATS,2015,Year End Semi-Annual,,,
MECKLENBURG SENIOR DEMOCRATS,2016,First Quarter,,,
MECKLENBURG VICTORY FUND,2018,Organizational,,,
MECKLENBURG YD,2008,Fourth Quarter,,,
MECKLENBURG YD,2008,Second Quarter,,,
MECKLENBURG YD,2008,Third Quarter,,,
MECKLENBURG YD,2009,Mid Year Semi-Annual,,,
MECKLENBURG YD,2009,Year End Semi-Annual,,,
MECKLENBURG YD,2009,Year End Semi-Annual,X,,
MECKLENBURG YD,2010,First Quarter,,,
MECKLENBURG YD,2010,First Quarter,X,,
MECKLENBURG YD,2010,Fourth Quarter,,,
MECKLENBURG YD,2010,Second Quarter,,,
MECKLENBURG YD,2010,Second Quarter,X,,
MECKLENBURG YD,2010,Third Quarter,,,
MECKLENBURG YD,2011,Mid Year Semi-Annual,,,
MECKLENBURG YD,2011,Mid Year Semi-Annual,X,,
MECKLENBURG YD,2011,Year End Semi-Annual,,,
MECKLENBURG YD,2012,First Quarter,,,
MECKLENBURG YD,2012,Second Quarter,,,
MECKLENBURG YD,2013,Mid Year Semi-Annual,,,
MECKLENBURG YD,2013,Year End Semi-Annual,,,
MECKLENBURG YD,2013,Year End Semi-Annual,X,,
MECKLENBURG YD,2014,First Quarter,,,
MECKLENBURG YD,2014,First Quarter,X,,
MECKLENBURG YD,2014,Fourth Quarter,,,
MECKLENBURG YD,2014,Fourth Quarter,X,,
MECKLENBURG YD,2014,Second Quarter,,,
MECKLENBURG YD,2014,Second Quarter,X,,
MECKLENBURG YD,2014,Third Quarter,,,
MECKLENBURG YD,2014,Third Quarter,X,,
MECKLENBURG YD,2015,Mid Year Semi-Annual,,,
MECKLENBURG YD,2016,First Quarter,,,
MECKLENBURG YR,2011,Mid Year Semi-Annual,,,
MECKLENBURG YR,2011,Mid Year Semi-Annual,X,,
MECKLENBURG YR,2011,Year End Semi-Annual,,,
MECKLENBURG YR,2012,Fourth Quarter,,,
MECKLENBURG YR,2012,Mid Year Semi-Annual,,,
MECKLENBURG YR,2012,Mid Year Semi-Annual,X,,
MECKLENBURG YR,2012,Third Quarter,,,
MECKLENBURG YR,2013,Mid Year Semi-Annual,,,
MECKLENBURG YR,2013,Year End Semi-Annual,,,
MECKLENBURG YR,2014,First Quarter,,,
MECKLENBURG YR,2014,Fourth Quarter,,,
MECKLENBURG YR,2014,Second Quarter,,,
MECKLENBURG YR,2014,Third Quarter,,,
MEDCATH INC COMM FOR THE IMPROVEMENT OF CARDIAC CARE,2009,Year End Semi-Annual,,,
MEDICAL MUTUAL INSURANCE COMPANY,2014,Organizational,,,
MEDICAL MUTUAL INSURANCE COMPANY,2016,Independent Expenditure Report,,,
MEDNAX INC FEDERAL PAC,2012,Fourth Quarter,,,
MEDNAX INC FEDERAL PAC,2012,Third Quarter,,,
MEL WATT FOR CONGRESS,2009,Year End Semi-Annual,,,
MEL WATT FOR CONGRESS,2010,First Quarter,,,
MEL WATT FOR CONGRESS,2010,Fourth Quarter,,,
MEL WATT FOR CONGRESS,2010,Second Quarter,,,
MEL WATT FOR CONGRESS,2010,Third Quarter,,,
MEL WATT FOR CONGRESS,2011,Mid Year Semi-Annual,,,
MEL WATT FOR CONGRESS,2011,Year End Semi-Annual,,,
MEL WATT FOR CONGRESS,2012,First Quarter,,,
MEL WATT FOR CONGRESS,2012,Fourth Quarter,,,
MEL WATT FOR CONGRESS,2012,Second Quarter,,,
MEL WATT FOR CONGRESS,2012,Third Quarter,,,
MEL WATT FOR CONGRESS,2013,Mid Year Semi-Annual,,,
MEL WATT FOR CONGRESS,2013,Year End Semi-Annual,,,
MEL WATT FOR CONGRESS,2014,First Quarter,,,
MEL WATT FOR CONGRESS,2014,Fourth Quarter,,,
MEL WATT FOR CONGRESS,2014,Second Quarter,,,
MEL WATT FOR CONGRESS,2014,Third Quarter,,,
MELANIE FOR DA,2013,Organizational,,,
MELANIE FOR DA,2014,Third Quarter,,,
MELISSA D PELFREY FOR DA,2013,Mid Year Semi-Annual,,,
MELISSA D PELFREY FOR DA,2013,Year End Semi-Annual,,,
MELISSA D PELFREY FOR DA,2014,First Quarter,,,
MELISSA D PELFREY FOR DA,2014,Second Quarter,,,
MELISSA D PELFREY FOR DA,2014,Third Quarter,,,
MELISSA D PELFREY FOR DA,2014,Year End Semi-Annual,,,
MELTON FOR STATE HOUSE COMM,2000,First Quarter,X,,
MELTON FOR STATE HOUSE COMM,2000,Second Quarter,X,,
MELTON FOR STATE HOUSE COMM,2002,Interim,X,,
MELTON FOR STATE HOUSE COMM,2002,Second Quarter,,,
MELTON FOR STATE HOUSE COMM,2002,Third Quarter,X,,
MELTON FOR STATE HOUSE COMM,2003,Final,X,,
MELVIN T JACKSON FOR NC HOUSE,2002,Final,X,,
MELVIN T JACKSON FOR NC HOUSE,2002,Interim,X,,
MELVIN T JACKSON FOR NC HOUSE,2002,Organizational,X,,
MELVIN T JACKSON FOR NC SENATE,2004,Final,,,
MENDALOFF FOR JUDGE,2012,Fourth Quarter,X,,
MENDALOFF FOR JUDGE,2012,Third Quarter,X,,
MERCHANTS PAC,1999,Year End Semi-Annual,X,,
MERCHANTS PAC,2000,First Quarter,X,,
MERCHANTS PAC,2003,Mid Year Semi-Annual,,,
MERCHANTS PAC,2003,Year End Semi-Annual,,,
MERCHANTS PAC,2004,First Quarter,,,
MERCHANTS PAC,2004,Second Quarter,,,
MERCHANTS PAC,2008,Fourth Quarter,,,
MERCHANTS PAC,2008,Second Quarter,,,
MERCHANTS PAC,2008,Third Quarter,,,
MERCHANTS PAC,2008,Third Quarter,X,,
MERCHANTS PAC,2009,Mid Year Semi-Annual,,,
MERCHANTS PAC,2009,Year End Semi-Annual,,,
MERCHANTS PAC,2010,First Quarter,,,
MERCHANTS PAC,2010,Fourth Quarter,,,
MERCHANTS PAC,2010,Second Quarter,,,
MERCHANTS PAC,2010,Third Quarter,,,
MERCK PAC THE PAC OF MERCK & COMP INC,2015,Mid Year Semi-Annual,,,
MERCK PAC: THE PAC OF MERCK & CO INC,2006,Third Quarter,,,
MERCK PAC: THE PAC OF MERCK & CO INC,2006,Third Quarter,X,,
MEREDITH A SHUFORD,2011,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2013,Mid Year Semi-Annual,,,
MEREDITH A SHUFORD,2013,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2014,Mid Year Semi-Annual,,,
MEREDITH A SHUFORD,2014,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2015,Mid Year Semi-Annual,,,
MEREDITH A SHUFORD,2015,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2018,Mid Year Semi-Annual,,,
MEREDITH A SHUFORD,2018,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2019,Mid Year Semi-Annual,,,
MEREDITH A SHUFORD,2019,Year End Semi-Annual,,,
MEREDITH A SHUFORD,2019,Year End Semi-Annual,X,,
MEREDITH A SHUFORD,2020,Final,,,
MEREDITH A SHUFORD,2020,First Quarter,,,
MERITOR INC PAC - FEDERAL ,2012,Fourth Quarter,,,
MERITOR INC PAC - FEDERAL ,2012,Organizational,,,
MESSER CONSTRUCTION CO PAC,2014,First Quarter,,,
MESSER CONSTRUCTION CO PAC,2014,Fourth Quarter,,,
MESSER CONSTRUCTION CO PAC,2014,Second Quarter,,,
MESSER CONSTRUCTION CO PAC,2014,Third Quarter,,,
MESSER CONSTRUCTION CO PAC,2015,Mid Year Semi-Annual,,,
MESSER CONSTRUCTION CO PAC,2015,Year End Semi-Annual,,,
MESSER CONSTRUCTION CO PAC,2016,First Quarter,,,
MESSER CONSTRUCTION CO PAC,2016,Fourth Quarter,,,
MESSER CONSTRUCTION CO PAC,2016,Second Quarter,,,
MESSER CONSTRUCTION CO PAC,2016,Third Quarter,,,
MESSER CONSTRUCTION CO PAC,2019,Mid Year Semi-Annual,,,
MESSER CONSTRUCTION CO PAC,2019,Year End Semi-Annual,,,
MESSER CONSTRUCTION CO PAC,2020,First Quarter,,,
MESSER CONSTRUCTION CO PAC,2020,Fourth Quarter,,,
METCALF FOR SENATE COMM,2000,First Quarter,X,,
METROLINA AREA RADIOLOGISTS FOR QUALITY IN MEDICINE,1999,Year End Semi-Annual,X,,
MEUTSCH 4 NC HOUSE 79,2017,Organizational,X,,
MIA MORRIS FOR STATE HOUSE,2000,First Quarter,,,
MIA MORRIS FOR STATE HOUSE,2000,Third Quarter,X,,
MIA MORRIS FOR STATE HOUSE,2001,Year End Semi-Annual,X,,
MIA MORRIS FOR STATE HOUSE,2002,First Quarter,X,,
MIA MORRIS FOR STATE HOUSE,2003,Mid Year Semi-Annual,,,
MICHAEL FINN LPNC,2018,Fourth Quarter,,,
MICHAEL H WRAY FOR STATE HOUSE,2004,Organizational,,,
MICHAEL H WRAY FOR STATE HOUSE,2004,Organizational,X,,
